P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
169.8,26.69677419,20.62311832,167.81,28.29387097,16.36709677,159.8,27.30967742,17.1
98.4,27.71,21.43152783,136.47,28.732,17.13533333,105.5,28.32333333,17.80333333
180,30.16451613,23.67190861,106.84,31.07322581,18.57806452,164.4,30.77419355,19.33870968
201.2,31.38709677,25.05000013,143.23,31.27387097,20.52064516,165.3,31.98709677,21
152.8,28.7,23.01636907,155.98,29.91642857,19.02571429,205.4,29.31428571,19.74642857
113.2,28.43225806,22.65860213,102.77,28.68967742,19.00451613,147.4,29.03548387,19.31612903
100.8,27.63,21.9666667,83.68,28.524,17.278,98.2,28.23,18.55666667
47.6,25.33870968,19.93790323,36.8,26.47870968,15.60354839,48.5,25.94193548,16.60645161
64.6,24.34444444,18.68287037,47.09,24.61703704,12.72,66.1,24.94444444,14.81851852
91.4,23.08,16.7133334,70.8,23.51433333,10.64666667,100.6,23.68333333,12.25333333
1.2,25.27741935,18.0111559,2.87,26.41322581,11.99064516,8.6,25.89677419,13.30645161
46.2,27.36,20.75587563,45.7,30.91166667,15.391,50.5,27.98666667,16.48666667
66.2,30.41935484,23.04422042,40.39,33.48741935,17.26225806,45.1,31.03548387,18.02580645
92.6,28.90344828,22.096408,128.24,31.96793103,17.42344828,130.5,29.51724138,17.98965517
35.4,28.55666667,15.75666667,57.54,29.83933333,15.10466667,44.2,28.79666667,15.97666667
150.6,29.71290323,16.76129032,140.75,31.13483871,15.98322581,122.4,29.94193548,16.90967742
147.4,30.175,18.95357143,168.32,31.71392857,18.69571429,125.3,30.43214286,19
278,29.08571429,18.67142857,221.9,29.41785714,17.81464286,251.1,29.31785714,18.88571429
323.8,29.65769231,19.08846154,198.2,30.03730769,19.015,219.4,29.89615385,19.28076923
7.6,26.1,19.2,23.58,27.61333333,18.15,25.8,26.4,19.06666667
66.8,31.57272727,19.87727273,77.06,30.72545455,19.80681818,68.2,31.79090909,20.14545455
0,33.8,20,6.24,31.23,20.86,0,34,20.2
89.2,25.96296296,15.7962963,98.69,26.06777778,15.19592593,96.7,26.20740741,16.05925926
0,27.784,15.704,2.19,26.8184,13.7088,0.7,28.108,15.944
31.6,25.17142857,13.07619048,31.02,25.64761905,12.2447619,30.9,25.4,13.44285714
58,28.63076923,16.15769231,88.43,29.89538462,14.98192308,46,28.86153846,16.43461538
41.4,27.225,14.7,38.64,28.82,13.8715,28.7,27.605,14.92
4.2,34.9,20.5,8.36,35.88818182,19.54272727,2.5,35.24545455,20.84545455
76.4,30.98571429,20.24285714,35.06,32.42142857,19.79857143,47.2,31.3,20.45714286
123.8,31.5,19.365,139.33,31.8385,19.733,127.7,31.7,19.495
289.4,30.02272727,20.37727273,231.83,30.93636364,20.85454545,263,30.20909091,20.66363636
135.4,30.96470588,20.43529412,113.29,31.64588235,20.60117647,138.7,31.19411765,20.65882353
78,29.97083333,19.5125,167.22,29.70875,19.23458333,69.8,30.1875,19.7125
55,28.835,17.445,51.29,27.7,16.406,40.1,29.095,17.59
39.6,25.15666667,13.39,32.69,23.89133333,11.94433333,37.2,25.40333333,13.47666667
47,27.10344828,15.00344828,25.06,25.52413793,13.0962069,23.1,27.32068966,15.2137931
14,26.47,13.89,20.46,25.061,11.348,10,26.68333333,14.04666667
33.4,26.07241379,12.53448276,31.46,26.26827586,10.97068966,30.7,26.41724138,12.72758621
16.2,29.37,15.19666667,20.31,30.814,14.33133333,11.5,29.59333333,15.29333333
98.4,29.98666667,16.65,103.07,31.218,16.11766667,90.9,30.2,16.69
136.4,29.62333333,17.76666667,245.09,30.59833333,17.131,89.6,29.72333333,17.97333333
204,30.325,19.35416667,146.66,30.77125,19.94625,179.6,30.53333333,19.54583333
266.6,29.27741935,19.17096774,251.22,29.81451613,18.63774194,201.5,29.48709677,19.22903226
130,30.384,19.056,124.63,30.1152,18.6412,159.4,30.58,19.2
18.6,29.1,19.28,49.7,29.964,18.734,19.1,29.3,19.1
12.2,31.25,17.98,45.27,31.737,17.285,12.8,31.45,18
127.6,29.64444444,17.88148148,148.96,30.37518519,18.17481481,112.4,29.86666667,18.09259259
442.6,28.4516129,19.96451613,310.4,29.10387097,20.07935484,385.4,28.68064516,20.25483871
133,31.425,18.53571429,26.51,31.17964286,18.32607143,116.1,31.63928571,18.76785714
161.8,29.89583333,19.575,101.65,30.76958333,19.70333333,164.4,30.12083333,19.74166667
26,29.82413793,18.67586207,45.63,29.57724138,18.03758621,42,30.05172414,18.91034483
79.8,27.03548387,15.72903226,89.26,27.04419355,14.36967742,73.7,27.2516129,15.95483871
55.6,25.36333333,15.29666667,27.24,25.752,13.38933333,45.1,25.60666667,15.53333333
8.2,24.51935484,13.18064516,14.62,25.40096774,11.32387097,5.8,24.74516129,13.28387097
13.4,28.93548387,14.97419355,24.83,30.3316129,12.66322581,14,29.14193548,15.24193548
25.4,27.7,16.9,61.18,28.9452,14.5788,30.3,27.904,16.936
123.2,30.21538462,22.3,119.25,32.24846154,18.57038462,125.2,30.47692308,22.22692308
29.6,29.99230769,18.25384615,59.5,31.29076923,17.88538462,20.9,30.20769231,18.45384615
181,28.664,18.244,144.01,29.7276,18.094,183.2,28.876,18.436
198,30.37096774,19.90645161,161.2,30.39225806,19.83612903,171.3,30.59677419,20.12580645
225.6,29.9125,19.725,163.27,30.84916667,20.0525,197.1,30.13333333,19.925
54.4,30.01,19.85666667,109.73,30.09466667,20.02866667,69.7,30.30666667,20.02
14,28.33478261,16.34782609,50.87,28.13086957,15.76217391,17.3,28.54782609,16.58695652
0.4,26.53125,12.675,0.34,25.419375,11.728125,0.5,26.8375,12.99375
14,25.6137931,13.41724138,16.7,25.45137931,12.28827586,13.9,25.83793103,13.63103448
35.2,26.90645161,14.39677419,10.51,27.67225806,11.95064516,24.4,27.13225806,14.59677419
20.4,29.14,14.41,16.27,30.23166667,12.38933333,15,29.34666667,14.63333333
71.4,27.76666667,14.72333333,63.35,29.918,13.65366667,67.7,27.96,14.92333333
68,30.09677419,17.4,106.45,31.54290323,17.24612903,84.3,30.22258065,17.57419355
72.8,31.15,18.33333333,79.62,32.10933333,18.12433333,76.1,31.27,18.48
262.2,30.21290323,19.80322581,233.71,31.02774194,20.20645161,219.3,30.4,20.01612903
439.8,28.11612903,20.21935484,391.29,29.08032258,20.32032258,518.6,28.3516129,20.35483871
205.6,30.78571429,19.65357143,144.45,30.025,19.75178571,184.6,30.96428571,19.78214286
52.4,31.67096774,19.53548387,136.59,30.60516129,19.38548387,64.3,31.87096774,19.75483871
72.2,29.37,18.58666667,60.4,28.87633333,18.204,68.9,29.57666667,18.67
49.6,25.15333333,14.07333333,48.55,24.39933333,13.16333333,45.1,25.37666667,14.13666667
4,26.73333333,14.19,9.98,25.28233333,11.52,2.8,26.93666667,14.27
280.6,24.48709677,12.54193548,193.28,23.82806452,10.12806452,213.7,24.68064516,12.53870968
0,27.84516129,14.23548387,0.3,27.56580645,12.16741935,0,28.03225806,14.41612903
4.2,31.05,16.98666667,6.9,31.998,15.758,2.9,31.24,17.21666667
60.2,31.99032258,17.80967742,67.38,33.64225806,17.50387097,53.6,32.18387097,17.92580645
250.8,28.95714286,17.40357143,180.38,30.61464286,17.63464286,175.1,29.17142857,17.29285714
230.8,30.22258065,18.74516129,227.17,30.99741935,18.6983871,213.8,30.43225806,18.88387097
257.8,27.87741935,18.8,194.04,29.51870968,19.09903226,237,28.12903226,18.97096774
138.8,29.62068966,19.03103448,180.44,29.75758621,19.41275862,150.1,29.83103448,19.26896552
139.2,28.93870968,18.26774194,130.61,29.14193548,18.24258065,136.2,29.1516129,18.47741935
152.2,27.55,17.13666667,138.82,27.179,17.15566667,141.1,27.76333333,17.18666667
93.6,24.35806452,13.45806452,81.39,23.78677419,12.48354839,71.5,24.55483871,13.57741935
66.6,24.44333333,13.71,52.46,23.85,12.49866667,43.1,24.68666667,13.88666667
0.4,26.18387097,13.01612903,0.11,25.54096774,10.87548387,0.1,26.42580645,13.11290323
54.6,27.47419355,14.95483871,69.06,28.2916129,13.69612903,45.8,27.7,15.08064516
0,27.77333333,13.85666667,49.16,29.04533333,13.16366667,21.1,27.93666667,13.95
124.8,29.30322581,17.64516129,119.37,31.01967742,17.77677419,125.8,29.53870968,17.82903226
107.2,30.07333333,17.17333333,95.01,30.74333333,17.55133333,109.2,30.27,17.38333333
135.4,30.7,17.54193548,173.75,32.20354839,17.57064516,165.3,30.90645161,17.75483871
237.8,27.89655172,18.84137931,290.28,29.00068966,19.22310345,290.5,28.15862069,18.96896552
1,30.38,18.54,19.09,29.404,19.48,3,30.52,18.84
8,29.38666667,16.50333333,43.44,27.936,16.84433333,22.6,29.48333333,16.69666667
44.4,26.86774194,15.26451613,25.81,26.19612903,14.81451613,49.8,27.08064516,15.33225806
56.8,22.93,11.71333333,64,22.545,10.61966667,42.1,23.14333333,11.92666667
4,23.6875,15.5375,21.86,25.5625,14.1075,4.9,24.1875,15.3125
9.4,28.93333333,16.30833333,42.21,28.4325,15.78166667,52.3,28.81666667,16.96666667
102.8,26.00909091,15.44545455,31.3,29.21090909,15.91545455,44.8,27.51818182,16.02727273
40,30.75,20.21538462,77.21,30.56923077,20.27346154,64.7,31.00384615,20.47307692
54.4,30.21,19.34,107.65,29.44833333,19.39766667,83.5,30.46666667,19.46333333
83,27.6,16.99666667,69.34,27.219,16.58966667,75.8,27.84333333,17.13
30.6,24.57096774,13.70645161,24.49,24.59580645,13.53129032,36.9,24.84193548,13.88064516
25.6,24.60333333,12.51,40.72,24.188,10.97,23.3,24.86,12.42666667
73.4,26.17586207,14.50344828,43.88,26.6537931,13.21862069,58.1,26.46206897,14.53103448
0,27.88333333,13.02333333,0.34,28.482,11.453,0,28.13,13.03666667
72.2,29.4,15.875,49.61,31.35214286,14.75071429,72.3,29.64285714,16.05357143
58.6,29.98888889,16.11111111,42.42,32.75388889,16.26166667,57,30.2,16.29444444
55.6,30.20333333,17.66666667,35.42,33.02066667,17.56866667,49.3,30.42666667,17.68333333
229.4,30.0516129,19.3516129,207.55,31.08677419,19.66548387,274.1,30.27741935,19.54516129
440.2,30.68064516,19.97741935,353.53,30.05,20.7416129,428.1,30.89354839,20.16451613
148.6,30.79642857,20.08928571,180.7,30.19035714,20.28785714,208.3,31.00357143,20.24285714
146.2,26.82413793,19.26896552,97.83,27.22172414,18.81862069,182.4,27.05517241,19.45172414
83.2,28.07,17.91333333,76.85,27.704,17.81566667,94.8,28.29666667,17.95666667
27,24.92903226,13.74193548,20.14,24.3583871,13.31483871,30.6,25.16451613,13.73870968
40,23.55666667,11.55333333,34.72,23.061,9.979666667,40.4,23.81333333,11.57666667
